index term	hits
bromazepam	9750
dexfenfluramine	121
oxymorphone	15000
methylphenidate	37000
methamphetamine	86400
pentazocine	372
morphine	130000
phencyclidine	3150
dihydrocodeine	8990
pethidine	1700
flunitrazepam	3540
fentanyl	303000
butalbital	1510
normethadone	10
oxycodone	120000
clotiazepam	212
pregabalin	30400
amphetamine	180000
diphenoxylate	253
flurazepam	1610
midazolam	13600
ketobemidone	262
carfentanil	7910
dextromoramide	992
tapentadol	5090
thiopental	1050
lisdexamfetamine	4520
diethyltryptamine	135
methaqualone	4170
perampanel	227
buprenorphine	12300
phendimetrazine	187
barbital	313
ethchlorvynol	83
fenethylline	155
estazolam	4310
nabilone	932
cathine	213
lacosamide	1630
nordazepam	176
clorazepate	2410
cloxazolam	117
amobarbital	425
rolicyclidine	27
clobazam	5260
hydrocodone	22600
alfentanil	156
dimethyltryptamine	19800
desomorphine	2750
bufotenine	1240
codeine	104000
heroin	579000
chlordiazepoxide	3420
ecgonine	218
zopiclone	8510
temazepam	6410
lorazepam	24400
phentermine	7660
sufentanil	656
methohexital	72
triazolam	3650
ketamine	695000
phenobarbital	4830
meprobamate	915
alpha-methyltryptamine	418
prazepam	371
lorcaserin	588
secobarbital	1790
brivaracetam	1060
phenmetrazine	1180
cocaine	1870000
carisoprodol	2170
diazepam	79800
benzphetamine	572
methadone	57800
clonazepam	50400
nitrazepam	2320
4-methoxyamphetamine	23
butorphanol	411
sibutramine	358
allopregnanolone	2760
methyprylon	48
oxazepam	20700
pentobarbital	4060
ezogabine	77
glutethimide	339
chlorhexadol	0
tramadol	41200
zaleplon	1020
quazepam	189
pemoline	1080
diethylpropion	1150
stanolone	75
alprazolam	48600
fenfluramine	495
zolpidem	11300
modafinil	89800
hydromorphone	8510
