index term	DrugBank ID	widely discussed	GPT-3 synonyms
bromazepam	DB01558	True	'bromaze','lexotan','bromazolam','bromaz','zepam','bromozepam','bromazepan','bromzepam','somalium','bromazanil','flumazepil','lexomil','bromazepine','bromazepamum','bromacepam','lexatin','bromazep','lexilium','bromazepam','bromazepane','bromalex','relaxid_in_the_united_states,_bromazepam_is_not_currently_a_legally_marketed_drug_and_is_only_available_through_certain_clinical_trials_or_on_the_black_market.','elixsure_bromazepam','zapam','relanium','bromazepa','bretazenil','lectopam','lexotanil','brazepam','brom_zepam','bromazep_riders','bromazepam_tablets','bromazepam_capsules','bromazepam_oral_solution','bromazepam_injection','bromazean','apo-bromazepam','novo-bromazepam','pms-bromazepam','riva-bromazepam','bromasepam','e/z-bromazepam','3-hydroxybromazepam','beta-hydroxybromazepam','3-bromo-7-hydroxy-5-phenyl-2h-1,4-benzodiazepine','3-bromo-7-phenyl-5-hydroxy-2h-1,4-benzodiazepine','bromadepam','bromam','bromdazepam','bromazil','therapeutic_bromazepam','pms_bromazepam','bromacepan','co-bromazepam','lexitans'
dexfenfluramine	DB01191	False	'appetite-decreasing_medication','fenfen','fenflu','fen-phen','dexfen-flur','dexfen','dexfenfluramine','dexfenfl','dexfenfluram','phen-fen','fen-phen/dexfenfluramine','dexfen-sr','dexfen-fluramine','dexfen-something','fenfluramine/phentermine','d-fenfluramine','fenfluramine_hydrochloride','phenfen','desfenfluramine','dexfenfluramine_hydrochloride','redux_ii','ionamin','dexfenflur','d-fen','dex-fluramine','fen-fast','fen_being','fen/flur/amine','dexfen-flu','dexfenflura','dexfenflurami','fenflur','fen_feeling','fen_sickness','fenflura','s-_fenfluramine','dexfenflura-mine','fen','phentermine-dexfenfluramine','pondamin','defenfluramine','fenfluramine_d','fen_reading','pondimin','med_fenfluramine','phenfluramine','ref_phen','fenphen','dexfluramine','a_redux','appetite_suppressant','dexfenfluramine_reduction','dexfenfluramine_decreased','dexfenfluramine_lower','dexfenfluramine_lessened','fen/phen','fenflu-red','r-fenfluramine','phen/fen','dexfenfluramine_tartrate','dexfenfluramine_ses','dexfenfluramine_sulfate','phendimet','fenfluramine_/*fen-floor-uh-meen/','phen_fen','dex_fenfluramine','fen-red','phent','anorectant_no._3','fluro-dexfenfluramine','l-fenfluramine','fen4','fen-fen','d-fenflur','dexfenfluramine_maleate','dexfen-flu-ramine','dex-fen-flu-ramine','bontril','fen-phenfluramine','fen-dexfenfluramine','dex-fenfluramine','pph,_redux'
oxymorphone	DB01192	True	'endocet','oxymorphone_hydrochloride','numorphone','oxycodone_hydrochloride','oxymorphone','oxymorphene','numorphan','narcotic_pain_reliever','using_opiates','pain_reliever','the_strongest_narcotic','p_oxymorphone','less_potent_than_oxycodone','using_prescription_opiates','being_on_prescription_opiates','oxymorphon','oxy_more_phone','oxymorfon','oxy_experience','opana','oxymorphine','being_addicted_to_oxymorphone','ocymorphone','other_ways_to_say_oxymorphone','having_an_addiction_to_oxymorphone','pain_pill','lortab','high_from_oxymorphone','stronger_opiate','oxymorphyn','other_opiates','a_pain_medication','oxomorphone','powerful_opioids','had_no_issue_with_oxymorphone','wasn't_using_oxymorphone','oksimorfon','pain_medication','oxymorphones','the_strongest_opiate','oxyir','the_drug_oxymorphone','oxymorphone_is_a_synthetic_opioid','a_semisynthetic_opioid_analgesic','oxymoprhone','deadliest_oxymorphone','pain-relieving_opiate','prescription_painkillers','prescribed_opioids','injecting_oxymorphone','taking_oxymorphone','oxymorphone_use','oxymorphone_addiction','oxymorphone_withdrawal','long-term_oxymorphone_abuse','insanely_strong','oxymorphone_high','the_oxymorphone_life','a_life_with_oxymorphone','an_oxymorphone_addiction','being_dependent_on_oxymorphone','opioid_medication','numorphan_(brand_name)','opiate_pain_medication','snorted_oxymorphone','swallowed_oxymorphone','injected_oxymorphone','most_popular_opiate','opana_is_the_better_version_of_oxymorphone','felt_great_after_taking_oxymorphone','experienced_intense_oxymorphone_high','narcotic_pain_medication','experienced_oxymorphone','on_oxymorphone','enjoying_oxymorphone','stopped_using_oxymorphone','i'm_done_with_opiates','i'm_finished_with_opiates','i'm_done_using_opiates','oxymorfin','oxymorfone','noroxycodone','an_opioid_pain_medication','oxymorphone_pills','oxymorphone_tablets','oxymo','most_desired_opiate','narcotic_pills','pain_pills','opanal','opioid_pain_medication','oxymorphan','oxymorphen','better_than_vicodin','pain_med','less_potent_analgesics','pain_relief','effective_pain_reliever','oxymorephone','top_opiate','number_one_opiate','strongest_opiate','pain_killers','ocymophone','prescription_pain_medication','numorphan_hcl','numorphan_sulfate','someone_who_takes_oxymorphone','an_oxymorphone_addict','consuming_oxymorphone','using_oxymorphone','getting_off_on_oxymorphone','flying_high_on_oxymorphone','oxymor_phone','people_who_abuse_oxymorphone','addiction_to_oxymorphone','narcotic_pain_relievers','i'm_now_on_hydrocodone','my_experience_with_oxymorphone','individuals_who_use_oxymorphone_for_non-medical_reasons','individuals_who_abuse_oxymorphone','stupid_oxymorphone','hated_oxymorphone','oxymorphone_ruins_lives','opana-er','opana-cr','ethoxymorphone','oxymorphol','getting_high_on_oxymorphone','strongest_opiates','oxymorfina','oxymorphone_buzz','oxymorphone_trip','oxymorphone_intoxication','oxymorphone_euphoria','in_pain_meds','oxyfast','using_opioids','pharmaceutical_painkiller','a_painkiller','taking_opiates','my_favorite_opiates','a_very_strong_opiate','narcotic_painkillers','numorph','pain_meds','oxymorphing','paroxymorphone','oxymorf','strongly_preferred_oxymorphone','liked_oxymorphone','oxymorphone_was_best','nothing_compared_to_oxymorphone','incomparable_to_oxymorphone','far_superior_to_oxymorphone','people_who_use_oxymorphone','individuals_taking_oxymorphone','anyone_who_uses_oxymorphone','pupils_oxymorphone','injectors_of_oxymorophone','addicts_of_oxymorophone','met-enkephalin','oxymorhone','vicodin_on_steroids','oxymors','oxymoprphone','pain_relievers','more_powerful_opiates','strong_opiates','very_strong_opiates','narcotic_painkiller','oxymophane','oxymorphone_hydrofluorate','opaner','numorphans','opiate_medication','oxymorph','ooxymorphone','taken_oxymorphone','given_oxymorphone','opioid_medications','hydroxynormorphinone','was_on_painkillers','purdue_pharma's_opana','mallinckrodt's_opana','oxynorphine','being_on_oxymorphone','endodan','having_an_opiate_addiction','medicated_opiates','took_opiates','can't_get_off_oxymorphone','need_more_oxymorphone','running_out_of_oxymorphone','getting_oxymorphone_from_a_friend','getting_oxymorphone_on_the_street','oximorphine','headaches_from_oxymorphone','7,9-dihydroxy-13-methylmorphinan-6-one','13-methyl-7,9-dihydroxy-3-oxomorphinan-6-one','oximorphone_hydrochloride','opanon','long_term_oxymorphone_use','dependence_on_oxymorphone','oxymorphines','oxymorphone_hcl','getting_off_oxymorphone','discontinuing_oxymorphone','going_through_oxymorphone_withdrawal','oxymorphone_detox','14-hydroxydihydromorphinone','hydroco/ocodone','noroxymorphone','trying_out_opiates','oxymorfones','oxymorphone_dependency','oxy-pods','opiate_pills','those_who_use_oxymorphone','oxymorphone_addicts','oxy_hit','people_who_use_oxymorphone_to_get_high','oxymorfons','oxymos','o-pane','o-pain'
methylphenidate	DB00422	True	'ritalin','concerta','metadate','attention_deficit_hyperactivity_disorder_medication','adhd_medication','dextroamphetamin','methylin','ritalin_la','daytrana','quillivant','aptensio','methylphenidate_hydrochloride','rubifen','equasym','medikinet','tranquilyn','quillichew','ritalan','metadate_cd','metadate_er','methylin_er','focalin_xr','osmotic_release','methylphenidates','central_nervous_system_(cns)_stimulant','methaphenidate','ridilin','ridalin','methylphen','methylphenylate','o-methylphenidate','smart_drug','treatment_for_adhd','methyphen','methyphenidate','metylfenidate','methylphenate','methylphenydate','quillivant_xr','tritalin','protacted-releasemethylphenidate','methylphenidate','mesocarb','p-methylphenidate','phenidate','methyl-phen','ritalin-sr','dimethylphenidate','méthylphénidate','methlyphenidate','apo-methylphenidate','ritaline','cotempla','ritalinic_acid','medi-methylphen','ritalyn','ritalon','methyl_phendate','methylphenidate_hcl','m-ethylphenidate','add_medication','m-phenidate','extended-release_methylphenidate','methyphenidates','methylins','fen_butylate','phenylphenidate','ritalins','aptensio_xr','ethylphen','quillichew_er','methylphenidate_tartrate','methylphenidate_tr','phenyl-2-piperidineacetic_acid','methyphendate','methylfenidate','ritalin-la','metadate-er','adhansia','methyiphenidate','matoride','met_methylphenidate','methylphenid','alpha-phenyl-2-piperidineacetic','d-methylphenidate','ritalin_sr','ritalin's','methyl-phen-a-date','dextro-amphetamine','things_like_ritalin','dexedrin','dex_methylphenidate','methylphendate','dextro-methylphenidate','smart_drugs','adderall_xr','methylpheninate','alpha-phenyl-2-piperidineacetic_acid_methyl_ester','transderm-ritalin','methylphenidic','metadate-cd','phenidate-methyl','adhd_meds','add_meds','addereall','10-15-methylphenidate','metylphenidate','methylphenidat','ritilin','known_as_mph','methylphenidate_hci','daytranas','ritalin_hydrochloride','m-e-t-h-y-l-p-h-e-n-i-d-a-t-e','attention_deficit_hyperactivity_disorder_(adhd)','ritalin-mixed_salts','reynolds_ritalin','cotempla_xr-odt','jornay_pm','fenidat','phenidat','concertas','raitalin','ethylphenidate_hydrochloride','daytrana_patch','daytana','also_known_as_ritalin','conerta','thylphenidate','stimulant_medication','methylphenidate-d3','metadate-sr','anything_else?'
methamphetamine	DB01577	True	'methamphet','methamphetamine_hydrochloride','amphetamines','methaphetamine','methylephedrine','crystal_meth','l-methamphetamine','n-methylamphetamine','(s)-(+)-methamphetamine','(r)-(-)-methamphetamine','methedrine','metaphetamine','ice','methmethamine','meth','crystal','deoxyephedrine','methamfetamin','methamphetamine','methylamphetamine','provided_by_methamphetamine_hydrochloride','shards','tweek','supporters_of_methamphetamine_production','producers_of_methamphetamine','users_of_methamphetamine','shard','methamfetamine','rystal_meth','shabu','phenylacetone','methamphetamine_sulphate','desoxyn','levomethamphetamine','(s)-methamphetamine','levo-methamphetamine','methylamfetamine','methamphetimine','methamphetaime','methamphhetamine','desoxyephedrine','methampetamine','methamphétamine','amphetamin','yaba','tweaking','tweaker','d-methamphetamine','methamphetamine_','metham','unmethylated_amphetamine','methamphetimaine','quisqualate','methamphetaminee','l-desoxyephedrine','go_fast','methamphetamine_sulfate','ephylone','n-methyl-1-phenylpropan-2-amine','substituted_amphetamine','tina','methamphetmine','methaphetimine','methaphetmine','d-meth','methamfetimine','stimulator','amphetaminil','pentedrone','methamphetomine','meth_installation','crystal_methamphetamine','methamphetamines','nor-methamphetamine','methamfetamines','norpseudoephedrine','l-meth','levo-meth','batu','d-desoxyephedrine','metamfetamine','methampehtamine','metamphet','tweak','(-)-methamphetamine','methamphetamie','methamphetanine','methamfetamine_sulphate','methamphetamine_base','methamphetamine_salt','methaphine','n-methyl-1-phenylpropane-2-amine','(s)-n-methyl-1-phenyl-propan-2-amine','160mg','dimethylamphetamine','methampheta','dexamfetamine','r-phenylisopropylamine','methyphetamine','méthamphétamine','quaaludes','amphetamine-type_stimulant','(-)-meth','(s)-meth','methanphetamines','stimulets','crystalmeth','metamphetamine','methamph','methamnetamine','phetamine','tweaked','methylamfetamin','levo-desoxyephedrine','cristal','ya_ba','l-methamphetamine_','ethamphetamine_hydrochloride','deoxy_methamphetamine','amphetamine_sulfate','trade_names:_speed,_ice,_crystal,_crank','street_names:_chalk,_candy,_glass,_go_fast,_honey_oil,_meth,_shabu,_shards,_tina,_tweek,_uppers,_velocity,_crystal_meth,_ice_drug','provigil','methamfetamine_hydrochloride','(s)-n-methylamphetamine','scooby_snacks','truckers'_speed','methamphidine','methamphetamin','nuvigil','methaphetamines','methylanphetamine','methylanphetamines','deoxy_meth','methamin','methamine','methyl_group','methyamphetamine','weight_loss_drug','methlyamphetamine','(s)-n-methyl-1-phenylpropan-2-amine','methylamhetamine','combination_of_amphetamines','metamphetamine_sulfate','methamphetamine_tartrate','lat_methamphetamine','speeds','methanes','methylamines','amphetamine_(mixed)','metaamphetamine','methamhetamine','d-amph','ephedrin','synth_meth','l-ephedrine','l-methamphetamine_hydrochloride','amphetimine','meth-_amphetamine','methamphetin','métamphétamine','amphetamine,_desoxyn','blue_meth','stimulant_drugs','zenzedi','norephedrine','tweakers','l-amphetamine','white_cross','methamphteamine','methamphetamine_free_base','methylamphetamin','n-methamphetamine','đồng_tâm_thuốc','methylfetamine','crystalline_methamphetamine','methyl_methamphetamine','amph','methampetimine','methamphetamine_phosphate','beta-hydroxy-n-methylamphetamine','chloroethane','metamphetamines','amphetamine_with_additional_methyl_group','methafetamine','methylampthetamine','n-methyl-1-phenyl-propan-2-amine','methamphetamine_sulfamate','methamphetamine_oxalate','methamphetamine_moment','ephedride'
pentazocine	DB00652	False	'talwin','talwin_nx','fortral','pentacene','pentazosyn','pentagesic','pentac','pentaz','penta','talacen','talwin_pentazocine','pentacen','pentafen','pentasin','phenazocine','talwin_pv','talwincompound','pentacaine','talwin_px','penta-_injection','talwin_i','talwin_ii','talwin_rp','talwin_r','talwin_r-p','talwin_x','talwin_xt','talwin_xl','talwin_xr','talwin_xe','talwin_xs','talwin_xn','talwin_xc','talwin_nxc','pentazoc','pental','penta-zocaine','azocine','talwin_pryo','pentazocin','pentazocine_hydrochloride','pentonics','pentazocyna','pentazoid','talwin_pink','talwin_mint','talwin_yellow','pentazosin','tazocin','other_names_for_pentazocine','phentazocine','pentazocine_tartrate','pentazocine_sulfate','pentazocine_lactate','often_used_interchangeably_with_pentazocine','pentazocinum','pentazocaine','pentacine','pentazine','fortwin','pentwin','pentaject','talwin_pyxis','talwin_rds','norpentazocine','pentazoline','pentazocine','fortralen','pms-pentazocine','drug_b','levo-pentazocine','talwin(r)','acupan','penta-gesic','talwin_injectable','pentalocin','phenadoxone','pent','talwin_50','talwin_p','pentazocain','pentas_pain_medication','pentazocine_hcl','pentaquine','new_talwin','cotanal','talwyn','talwin_pyribenzamine','numorphan','ops_and_pent','talwin_compound','talwin_compound-65','pent_there_are_many_different_ways_to_say_pentazocine.','pentamax','tal_win','talwin_cp','pentazocaine_hydrochloride','fentazocine','penazocine','bevenopran','talwin_ex','sosegon','entazocine','promedol','talwin_30','talwin_60','pentazocinehcl','talwin_pyrazolone','generic_pentazocine','talwin_sr','injectable_pentazocine','win_pentazocine','talwin_riker','talwin_wescott','talwin_pentathol','talacen-t','pantazocine','cyclazocine','pentaal','tazodin','levo-talwin','optalgin','phenazocines','acetaminophen/pentazocine','phenoperidine','trade_name_for_pentazocine','drug_long_pentazocine','talwin_pentateuch','pentozocine','n-allyl-norphine','pentacozine','pentazocinehydrochloride','l-pentazocine','intramuscular_pentazocine','intranasal_pentazocine','iv_pentazocine','pentazocaine_sulfate','reynolds_pentazocine','talwin_py','benzomorphan','dextro-pentazocine','metazocine','eneric_pentazocine'
morphine	DB00295	True	'morphium','morphinum','morphinon','oramorph','roxanol','sufentanyl','mscontin','kadian','avinza','embeda','ms_contin','laudanum','morphites','morphates','morphias','morphins','morphina','m-eslon','astramorph','duramorph','msir','morfin','narcotine','morphing','speedball','dillaudid','empirin_with_codeine','morphin','morphine_sulfate','lortab','dolophine','dromoran','meperidine','morphinic','morphinism','morphinist','morphine_addiction','morphine_user','murphin','morphiceptin','oripavine','palladone','infumorph','morpholine','murphine','normorphine','paramorphine','zomorph','morpht','morphate','orphine','palfium','rescudose','sevredol','m-contin','morph','morhpine','oxydose','rms','morphiene','morphione','morf','kapanol','oramorph_sr','pain_relief','morphia','r-opioid','oximorphone','morphgesics','morpheus','morphine-addicted','morphine','morphinization','morphinomania','extremely_potent_painkiller','linctus','morephine','mr._morphine','the_one_and_only,_morphine.','tincture_of_opium','painkiller','pmorph','levomethorphan','morpin','narcotica','opio','opiates','morphides','morphines','morphinator','roxanol-t','oxidone','6-monoacetylmorphine','6-mam','duromorph','kaolin-morphine','ranbaxy','narcotic_analgesic','pain_medication','morphi','morphlin','mprh','mprhine','moph','zydone','xycodone','morphine_hydrochloride','morphgesic','morpholyn','morphinomimetic','short-acting_morphine','immediate-release_morphine','extended-release_morphine','morfine','mst','ms-contin','oms','methadose','otfc','morphabond','morphiject','morphinel','roxanol-f','roxanol-u','rms-long','roxanol-mark','roxanol-r','morphime','morphyna','morphene','norphin','morfy','morphino','morphice','mor','morphinize','morphinan','narceine','mophone','morphyne','mophine','nicomorphine','oyxcodone','morphum','morphone','morphineum','morphē','morphaine','morphalline','morphinem','morphinol','morphable','morphinic_acid','myrophine','neomorphine','norphine','morphinesulphate','morphine-based','dimorphine','thebacon','mu_opium','roxanal','lemorphine','acetomorphine','statex','morphinex','morphite','morphine_alkaloids','morphinoid','morphinate','dionin','morphal','lorphan','ms_continued','morphine_sulphate','m-oxy','oxymorphine','most','pomorphine','mos','narcotism','morphineder','morphinized','morphinizes','morphinizing','orphine_sulfate','s_contin','mu_opiate','morphinists','morphinephobia','morphinisms','mu-opioid_receptor_agonist','morphine_abuse','mesopot','oramor','roxycontin','moirphin','morphiin','morphiine','morfeen','morphyn','hakki','orphanol','hydromorph','norspan','morphinomane','analgesic','phenanthrene','thebaine','morphinom','7,8-didehydro-4,5α-epoxy-17-methylmorphinan-3,6α-diol','myrphine','morphiness','mórfinn','morpheem','morfein','morfyn','mormorphine','dolcontin','liquid_morphine','oripavin','ms._contin','murfin','narkotik','senega','mssr','morphon','merphine','end-all','morphining','schedule_ii','pain_reliever','hydrocodin','codein','mofin','morfina','morphinane','methylmorphine','m.o.p.','jurnista','roxanol_t','petidine','piminodine','tylonol_with_codeine','mofeen','moefin','opid','narkotil','narcein','narkotise','narcotan','oral:_morphine_ir,_msir,_ms_contin,_kadian,_oramorph_sr,_roxanol','iv:_msir,_kadian,_oramorph_sr','im:_msir','morphogenetic','morphogenic','emorph','morphan','morphio','oxaydo','seed','lavrentiy','rms_contin','sublimaze','exchangeable_narcotic_analgesics','morphinesulfate','dreamer','roxanol_tablets','morphinises','morphinizations','raw_opium','poppy_straw','opioph','oxycodon','narcotac','numorphine','msts','morphinoidal','lorfan','pail','morphius','i_don't_know.','morfio','morfium','7,8-didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol','raw_opiate','paramorfan','oxydones','morphiums','morphinates','morphons','the_dreamer','tinct','muriate_of_morphia','sulfate_of_morphia','narcot','opiat','morphinan-6','narcotic_analgesics','relief','esmorfina','morfija','morfinet','diamorphine','morphini','murophine','moir','roxanol-tasteless','omorfina','pseudoendorphin','roxane','abg_30','opana','casomorphin','enkephalin','leu-enkephalin','phenylpiperidine','morphinone','nopiate','narkotine','morphien','china_white','morphhine','moprhine','kadian_extended-release_capsules','marphine','zalviso','m-phenidate','heroina','propiram','sulfate','morph_true','narcotics','6-methyldihydromorphinone','paralgin','morphiks','demorphine','oxcodone','sevendol','morphie','morphire','morphoneme','gum_opium','nucaine','paramorphan','rophyn','opianate','r-morphine','amorphine','anthropomorphine','depodur','pethidin','μ','synthetic_opioid','methadose_spansules','mu_receptor_agonist','m-w_30','thebane','narcotina','opiáceo','morsheen','narcosis','t-morphine','rms-contin','god's_own_medicine','murphy's_needle','morphinium','9-hydroxy-13-methylmorphinan','13-methylphenyl-9-ol-3-morphinan','9-oxymethyl-13-methylphenyl-3-morphinan','9-methyl-13-phenyl-3-morphinan','9-phenyl-13-methyl-3-morphinan','9-phenyl-3-methyl-13-morphinan','morphas','tolerance'
phencyclidine	DB03575	False	'angel_dust','embalming_fluid','sernyl','pcp','angell_dust','zoom','phencyclidine-like','pcp-like','pcp's','pcps','love_boat','cyclohexamines','dust','peace_pills','phencyclidine_hydrochloride','angeldust','pcp-hci','cyclidine','peace_pill','pcp-induced','pcp-related','phencyclidine-induced','phencyclidine-related','a-pcp','phencyclidined','phencyclidine_drugs','phencyclidine_freebase','p.c.p.','cyclohexylpiperidine','cyclohexamine','angels_dust','phencyclidine_analogs','phencyclidine-like_substances','arylcyclohexylamines','phencyclidine's','ngel_dust','phencyclidin','cyclohexyl_piperidine','sernyls','cyclidines','fenciclidines','pcpp','pcp-hcl','tiletamine','phencyclidine_sulfate','piperidine','piperidines','trank','sherm','phencyclidines','r-(-)-phencyclidine','s-(+)-phencyclidine','monomethoxy-phencyclidine','dimethyl-phencyclidine','dissociative_anesthetic','phenylcyclohexylpiperidine','pce_()','pcpy_()','pcp_use','pcp_addiction','pcp_dependence','phencyclidine_sulfoxide','horse_tranquilizer','gorilla_biscuit','pcp-d','pcp-e','pcp_hydrochloride','phencyclidine_hcl','pcp_hcl','(angel)_dust','cyclohexylphenyl_piperidines','pcp-25','pcp-26','pcp-27','dissociative_anaesthetic','pcp_drug','pcp_effects','pcp_drugs','methoxyphencyclidine','phenylcyclohexylpiperidines','eace_pill','piperidine_cyclohexanol','angle_dust',''_angel_dust'','d-cyclohexyl-phenylamine','cyclohexyl','sernylan','phencyclidine_abuse','phencyclidine_addiction','phencyclidine_dependence','phencyclidine_analogues','substituted_phencyclidine','designer_phencyclidine','phencyclidine_derivatives','phencyclidine_acetate','supergrass','tranquilizers','piperidinocyclohexane','1-(1-phenylcyclohexyl)-piperidine','arylcyclohexylamine','pcp&nbcp','pcp_30','phencyclidine-like_compounds','trade_name_for_phencyclidine','trade_name_of_pcp','pcp_sulf','phencyclidine_oxide','pcp_ox','p-cyclidine','tranquilizing_angel_dust','dissociative_anesthetics','phencyclidine_compounds','fake_pcp','(-)-1-(1-phenylcyclohexyl)-piperidine','super_grass','phecyclidine','3-hydroxy-phencyclidine','pcp_laced'
dihydrocodeine	DB01551	False	'dihydrocoedine','dihydrocodin','dihydrocodein','dihydrocodeinone','dihydrocode','dihydrcodeine','dihydrocodones','dihydrocodeine_pills','dihydrocodeine_ccp','dihydrocodeine_hcl','dhc_plus','dicodin','dihydrocodiene','dihydroxycodone','dihydrocodeine_phosphate','dihydrocodeine_sulphate','dihydrocodeinesulfate','dihydrocodeinetartrate','dihydracodene','dihydrocodeine','dihydrocodon','dihydrocodeine_hydrochloride','dihydrocodeine_sulfate','dihydroxycodeine','dihydro_codine','dihydrocodeinebitartrate','dihydrocodeine_tartrate','dihydrohydrocodone','dihydroco','codeine_dihydrochloride','dihydrocodes','dihydrocodei','purdue_pharma's_dhc','dhcplus','dihydrocodeine_bitartrate','dihydrocodeine_oxalate','dihydr_codeine','dihydro_oxy_codeine',''dihydrocodeine','dihydrocoeine','dihydrocod','codeine_dihydrate','dihydocodein','bitartrate','dihydrocodone','dihydro_(or_dihydroxy)_codeines','dihydrocodeine-3-methyl_ether','dihydrocodeinon-3-methyl_ether','dihydrocodine','acetaminophen/dihydrocodeine','dihydroxycodein','dihydroxycodene','co-dydramol','dihydroisocodeine','dihydrocodeins','dhcodeine','dihydrocodines','dihydrocodeina','dihydrokodein','dihydrocodeine_n-oxide','acetaminophen/dihydrocodene','codeine_hydrate','dihydrocodeine_acetate','dihydrocodione','dihydrocodeine_30/100','dhydrocodeine','dihydro_style','dihydrocodea','dihydrocodens','dihydrocodeïne','dihydrocodeynes','dihydrocodeine_salts','dihydrocodeine_esters','dihydrocodeine_ethers','dihydrocodeine_derivatives','dihydrocodeines','dihydrocodeine-acetate','dihydro_cox','acetaminophen-dihydrocodeine','dihydrocodeine_mesylates','dicodide','acetaminophen/dihydrocodien','ibuprofen/dihydrocodien','dihydrocodien','dihydroxycodine','dihydrocodein-8-ol','dihydrocodeinone-8-ol','dihyrocodeine','aspirin','acetaminophen/dihydrocodone','dihydro_morphine','acetaminophen/dihydrocodine','acetaminophen/dihydroxycodone','acetaminophen/dihydrocod/paracetamol','dihydrocodeine-posphate','dihydrocodeene','dihydroc','dihydrocodeeine','acetaminophen/dihydrocodein','acetaminophen/dihydrocodones','dihydrin','dihydromorphin','dihydr_codein','dihydro-codeines','o-dihydrocodein','o-dihydrocodone','o-dihydrocodine','p-dihydrocodein','p-dihydrocodone','p-dihydrocodine','dihydrocodein-3-ol','dihydrocoded','dihydrooxycodeine','dicodine','dihydrocod_12','dihydrocodeinr','dihydrocodo','dihydrocod_take','codidol','acetaminophen/dihydrocod','dihydrcodiene','acetaminophen/dihydrocodiene','dihydrocodeine_propionate','dihydrocodeine_butyrate','apap/dhc','dihydrocodeines_bitartrate','codeine/dihydrocodein','dihydrocodienes','dihydrocodeini_hydrochloridum','dihydrocodeini_undecylenate','dihydrocodeinone_acetate','dihydrocodeinone_propionate','dihydrocodeinone_butyrate','dihydrocodeinone_valerate','dihydrocodeinone_enanthate','dyhydrocodone','hydrocodone_dihydrate','tylenol/dihydrocodeine','h,_dhc','nicocodeine','dihydrocodene','dihydrocodein_tablets','dihydrocodein_capsules','dihydrocodéine','dihydrocodiène','acetaminophen/dhydrocodone','dihydrocodeiene','dihydroxycodiene','dicodiene','dihidrocodeine','dihydrocodeinee','fiorinal_with_codeine','dehydrocodeine','dihydro-codeine','dihydrocodenes','paracodin','paracodol','dihydrogenated_codeine','hydrocodone/dihydrocodeine','dihydrocodeine_tablets','3,4-dihydrocodeinone','dihydro-codiene','dihydrocodone_acetaminophen','(dihydrocodein-4-yl)acetate','dihydrocone','hydrocodone_tartrate','dicodein','3-methoxy-17-methylmorphinan-6-ol','acetyl-dihydrocodeine','dihydrocode_ine'
pethidine	DB00454	False	'pethadones','pethidine','pethadine','pethidene','pethidine_hydrochloride','pethadrine','pethedine','pethidin','pethidine-like_drug','phenadoxone','phenazocine','norpethidine','pethidinic_acid','pethidines','bethidine','phenoperidine','petidine','pethanol','pethanols','pethidinone','n-ethyl-norpethidine','pethyne','pithidine','promedol','pethaline','oxpheneridine','have_an_injection_of_pethedine','meperidines','meprodine','pepidine','pethidine_sulfate','pethidine_phosphate','pethidine_tannate','pethidine_bitartrate','pethadines','pethyline','meperitab','pethidinium_chloride','n-methylpethidine','mepergan','m-e-p-e-r-i-d-i-n-e','pethidine_alcohol','pethidine_oxide','pethodine','pethidine_','dolantin','pethidine_hydrobromide','pethidine_potassium_chloride','pethidine_sodium_chloride','pethidinum','pethidine_hydrochloride_salt','levo-pethidine','pethane','pethi','pethidine-n-oxide','phetidine','trade_name_of_meperidine','trade_name_for_meperidine','trade_name_pethidine','pethidine_hydrochloride_injection','pethimine','phethidine','pethadone','operidine','pithidines','pethidine_transcription_factor','pethidine_hydrochloride_anhydrous','pethidine_hydrochloride_monohydrate','pethidine_hydrochloride_dihydrate','pathidine','pethasine','pethidine_chloride','orpethadine','pethalin','meperidine_hydrochloride','peridine','pethidine_hcl','pethidine-hcl','pehidine','morphinan','pethidine_hydrochloride_','piridosal','phethadine','pro_pethidine','pethidin-1-oxide','pethidinium','pethidine_lactate','pethidinium_bromide','pethidinium_iodide','phenylpethidine','acetorphine','pethidine_hydrochloride_usp','pethafine','pethedrine','pethidine_hydrochloride_tablet','norpethadine','pethidine_tartrate','piminodine','bemidone','phenadoxy','petidin','petydin','penthidine',',ypethidine','pempidine','pethanes','pethidins','pethidine_hydrochlorides','pethidine_monohydrate','pethidine_dihydrochloride','pethidine_is_a_synthetic_opioid_analgesic_drug_similar_to_morphine,_but_with_fewer_side_effects.','pethidine_salt','medperidine','pethidine-l-tartrate','ponstel','n,n-dimethyl-4-phenylpiperidine','pethidol','dimethylpethidine','labor_pain_reliever'
